Ubicación,Precio,Detalles
Piso en calle de Antonio de Leyva  76  Opañel  Madrid,930€/mes,1 hab. 56 m² Planta 4ª exterior con ascensor 12 horas
Piso en calle de Santa Isabel  42  Lavapiés-Embajadores  Madrid,1.490€/mes,2 hab. 76 m² Planta 3ª exterior con ascensor 20 horas
Ático en San Carlos  6  Lavapiés-Embajadores  Madrid,2.430€/mes,2 hab. 82 m² Planta 2ª exterior con ascensor 12 horas
Piso en calle del Divino Pastor  Malasaña-Universidad  Madrid,1.800€/mes,2 hab. 77 m² Planta 1ª exterior con ascensor
Piso en plaza de Corcubión  1  Pilar  Madrid,950€/mes,2 hab. 52 m² Planta 3ª exterior con ascensor 12 horas
Piso en calle Donoso Cortés  Gaztambide  Madrid,3.000€/mes,5 hab. 130 m² Planta 5ª exterior con ascensor
Dúplex en calle de Vallehermoso  104  Vallehermoso  Madrid,980€/mes,1 hab. 45 m² Planta 6ª interior con ascensor 12 horas
Piso en avenida del talgo  Aravaca  Madrid,"1.200€/mes
Garaje incluido",2 hab. 70 m² Planta 4ª exterior con ascensor
Piso en calle de las Delicias  Palos de Moguer  Madrid,1.900€/mes,3 hab. 81 m² Planta 3ª exterior sin ascensor 12 horas
Piso en Estrella  Madrid,"2.500€/mes
Garaje opc. 150 €/mes",3 hab. 165 m² exterior con ascensor
Piso en calle de María Panés  Nuevos Ministerios-Ríos Rosas  Madrid,2.190€/mes,3 hab. 75 m² Planta 4ª exterior con ascensor 12 horas
Piso en calle Anna Frank  19  El Cañaveral  Madrid,"1.395€/mes
Garaje incluido",3 hab. 132 m² Bajo exterior con ascensor
Piso en calle Cabo Nicolás Mur  San Isidro  Madrid,895€/mes,3 hab. 75 m² Planta 2ª exterior sin ascensor 12 horas
Piso en Malasaña-Universidad  Madrid,3.100€/mes,3 hab. 170 m² exterior con ascensor
Piso en calle del Doctor Cortezo  Lavapiés-Embajadores  Madrid,2.200€/mes,4 hab. 145 m² Planta 4ª exterior con ascensor 12 horas
Piso en Castilla  Madrid,"3.950€/mes
Garaje incluido",3 hab. 171 m² Planta 1ª exterior con ascensor
Piso en calle de la Infanta Mercedes  Cuatro Caminos  Madrid,"1.495€/mes
Garaje incluido",3 hab. 80 m² Planta 7ª exterior con ascensor 12 horas
Piso en Argüelles  Madrid,2.500€/mes,1 hab. 73 m² Planta 12ª exterior con ascensor
Piso en calle de Fray José Cerdeiriña  Águilas  Madrid,700€/mes,2 hab. 65 m² Planta 5ª exterior sin ascensor 12 horas
Piso en calle de Tribulete  Lavapiés-Embajadores  Madrid,1.100€/mes,2 hab. 47 m² Planta 2ª exterior con ascensor
Piso en calle villamanin  Lucero  Madrid,1.100€/mes,3 hab. 90 m² Planta 11ª exterior con ascensor 12 horas
Piso en plaza de las Cortes  Huertas-Cortes  Madrid,1.500€/mes,1 hab. 60 m² Planta 5ª exterior con ascensor
Piso en calle del Apóstol Santiago  68  Ventas  Madrid,890€/mes,1 hab. 58 m² Planta 5ª exterior con ascensor 12 horas
Piso en calle Anna Frank  19  El Cañaveral  Madrid,"1.115€/mes
Garaje incluido",2 hab. 94 m² Planta 1ª exterior con ascensor
Piso en Poeta Joan Maragall  Cuzco-Castillejos  Madrid,"2.700€/mes
Garaje incluido",2 hab. 89 m² Planta 18ª exterior con ascensor 11 horas
Piso en calle del Prado  Huertas-Cortes  Madrid,1.490€/mes,2 hab. 110 m² Planta 1ª interior con ascensor
Piso en Nuñez de Balboa  56  Recoletos  Madrid,2.700€/mes,1 hab. 70 m² Planta 2ª exterior con ascensor 13 horas
Piso en calle de Francisco Silvela  Lista  Madrid,1.590€/mes,1 hab. 54 m² Planta 1ª exterior con ascensor
Dúplex en Mirasierra  Madrid,"2.800€/mes
Garaje incluido",3 hab. 281 m² Planta 3ª exterior con ascensor 10 horas
Piso en paseo De La Castellana  Ventilla-Almenara  Madrid,2.900€/mes,6 hab. 225 m² Planta 4ª exterior con ascensor
