Ubicación,Precio,Detalles
Piso en Nuñez de Balboa  56  Recoletos  Madrid,2.700€/mes,1 hab. 70 m² Planta 2ª exterior con ascensor 13 horas
Piso en Paseo De La Castellana  201  Ventilla-Almenara  Madrid,1.900€/mes,2 hab. 90 m² Planta 5ª exterior con ascensor
Dúplex en Mirasierra  Madrid,"2.800€/mes
Garaje incluido",3 hab. 281 m² Planta 3ª exterior con ascensor 10 horas
Piso en paseo Castellana  203  Ventilla-Almenara  Madrid,1.900€/mes,2 hab. 90 m² Planta 5ª exterior con ascensor
Piso en calle de la Oca  Vista Alegre  Madrid,945€/mes,2 hab. 56 m² Planta 3ª exterior con ascensor 13 horas
Piso en calle del Gasómetro  Acacias  Madrid,"1.900€/mes
Garaje incluido",3 hab. 110 m² Bajo exterior sin ascensor 20 horas
Dúplex en paseo de la Direccion  Berruguete  Madrid,"1.600€/mes
Garaje opc. 90 €/mes",3 hab. 145 m² Planta 4ª exterior con ascensor 13 horas
Piso en calle de Astorga  Ventas  Madrid,1.400€/mes,3 hab. 75 m² Bajo exterior con ascensor
Piso en calle de Wad-Ras  Bellas Vistas  Madrid,780€/mes,2 hab. 42 m² Bajo interior sin ascensor 13 horas
Piso en alameda de osuna  50  Alameda de Osuna  Madrid,"1.700€/mes
Garaje incluido",3 hab. 156 m² Planta 3ª exterior con ascensor
Piso en calle del Barco  9  Malasaña-Universidad  Madrid,1.050€/mes,2 hab. 65 m² Planta 2ª interior con ascensor 13 horas
Piso en calle del Conde de Aranda  Recoletos  Madrid,1.900€/mes,1 hab. 43 m² Planta 6ª interior con ascensor
Piso en Segovia  Palacio  Madrid,970€/mes,2 hab. 37 m² Bajo interior sin ascensor 14 horas
Piso en El Santo de la Isidra  10  Los Ángeles  Madrid,"800€/mes
Garaje incluido",1 hab. 66 m² Planta 4ª exterior con ascensor
Piso en calle de Sánchez Barcáiztegui  Pacífico  Madrid,"2.000€/mes
Garaje incluido",4 hab. 106 m² Planta 3ª exterior con ascensor 26 minutos
Piso en Canillas  Madrid,"4.500€/mes
Garaje incluido",4 hab. 323 m² Planta 7ª exterior con ascensor
Chalet adosado en Aravaca  Madrid,2.900€/mes,3 hab. 120 m² 14 horas
Piso en calle la Granja de San Ildefonso  28  Ensanche de Vallecas - La Gavia  Madrid,"1.000€/mes
Garaje incluido",2 hab. 73 m² Planta 2ª exterior con ascensor
Piso en calle de Valencia  Lavapiés-Embajadores  Madrid,750€/mes,1 hab. 33 m² Planta 1ª interior sin ascensor 14 horas
Piso en calle de Maldonado  Lista  Madrid,"3.450€/mes
Garaje incluido",4 hab. 200 m² Planta 2ª exterior con ascensor
Estudio en calle Embalse de Navacerrada  Ensanche de Vallecas - La Gavia  Madrid,"795€/mes
Garaje incluido",33 m² Planta 5ª exterior con ascensor 14 horas
Piso en calle la Canción del Olvido  62  Los Ángeles  Madrid,"932€/mes
Garaje incluido",2 hab. 74 m² Planta 1ª exterior con ascensor
Piso en Vallehermoso  Arapiles  Madrid,1.000€/mes,1 hab. 50 m² Planta 4ª interior con ascensor 14 horas
Piso en calle de Caramuel  Puerta del Ángel  Madrid,1.650€/mes,2 hab. 67 m² Planta 1ª exterior sin ascensor
Piso en calle Martínez Corrochano  29  Adelfas  Madrid,800€/mes,1 hab. 40 m² Planta 1ª exterior con ascensor 14 horas
Piso en calle Arte Pop  8  Ensanche de Vallecas - La Gavia  Madrid,"820€/mes
Garaje incluido",1 hab. 48 m² Planta 7ª exterior con ascensor
Piso en plaza de Andrés Manjón  7  Castilla  Madrid,1.400€/mes,2 hab. 75 m² Bajo exterior con ascensor 14 horas
Piso en calle del Lucero del Alba  1  Los Ángeles  Madrid,"940€/mes
Garaje incluido",2 hab. 74 m² Planta 4ª exterior con ascensor
Piso en calle de Bretón de los Herreros  20  Nuevos Ministerios-Ríos Rosas  Madrid,900€/mes,2 hab. 50 m² Planta 1ª interior con ascensor 14 horas
Piso en calle de Caramuel  Puerta del Ángel  Madrid,1.650€/mes,2 hab. 86 m² Planta 1ª exterior sin ascensor
