Ubicación,Precio,Detalles
Piso en Niño Jesús  Madrid,"3.700€/mes
Garaje incluido",4 hab. 214 m² Planta 6ª exterior con ascensor 23 horas
Ático en calle Arroyo del Cañaveral  66  El Cañaveral  Madrid,"1.595€/mes
Garaje incluido",1 hab. 64 m² Planta 7ª exterior con ascensor
Piso en calle del Porvenir  Fuente del Berro  Madrid,1.200€/mes,2 hab. 67 m² Planta 2ª exterior sin ascensor
Piso en calle de Lagasca  99  Castellana  Madrid,"14.000€/mes
Garaje incluido",4 hab. 355 m² Planta 6ª exterior con ascensor
Piso en calle del Limón  Malasaña-Universidad  Madrid,1.500€/mes,3 hab. 80 m² Planta 4ª exterior sin ascensor
Ático en calle de Núñez de Balboa  Castellana  Madrid,"6.950€/mes
Garaje incluido",5 hab. 268 m² Planta 6ª exterior con ascensor
Piso en calle de Alucas  4  Pueblo Nuevo  Madrid,850€/mes,2 hab. 55 m² Planta 3ª exterior con ascensor
Piso en calle de las Viñas del Rio  16  Butarque  Madrid,"995€/mes
Garaje incluido",2 hab. 83 m² Planta 1ª exterior con ascensor
Piso en calle drácena  Nueva España  Madrid,1.500€/mes,2 hab. 80 m² Planta 1ª exterior con ascensor
Piso en calle de las Viñas del Rio  16  Butarque  Madrid,"1.150€/mes
Garaje incluido",3 hab. 93 m² Planta 1ª exterior con ascensor
Piso en calle del Conde de Peñalver  83  Lista  Madrid,2.200€/mes,2 hab. 65 m² Planta 4ª interior con ascensor
Piso en calle de las Viñas del Rio  16  Butarque  Madrid,"825€/mes
Garaje incluido",1 hab. 50 m² Planta 1ª exterior con ascensor
Ático en Trafalgar  Madrid,2.100€/mes,1 hab. 83 m² Planta 6ª exterior con ascensor
Dúplex en calle de la Buganvilla  4  Castilla  Madrid,"3.100€/mes
Garaje incluido",4 hab. 318 m² Planta 4ª exterior con ascensor
Ático en calle de Palafox  Trafalgar  Madrid,3.900€/mes,2 hab. 89 m² Planta 5ª exterior sin ascensor
Piso en calle de los Cabestreros  Lavapiés-Embajadores  Madrid,1.500€/mes,2 hab. 50 m² Planta 3ª interior con ascensor
Piso en calle de Don Ramón de la Cruz  Castellana  Madrid,5.500€/mes,4 hab. 230 m² Planta 1ª exterior con ascensor
Piso en Fuente del Berro  Madrid,"3.300€/mes
Garaje opc. 120 €/mes",4 hab. 165 m² exterior con ascensor
Piso en calle de Diego de León  Lista  Madrid,2.700€/mes,4 hab. 146 m² Planta 4ª exterior con ascensor
Piso en Bernabéu-Hispanoamérica  Madrid,1.900€/mes,2 hab. 70 m² Planta 2ª exterior sin ascensor
Piso en calle de Benito Gutiérrez  35  Argüelles  Madrid,2.200€/mes,3 hab. 105 m² Planta 1ª exterior con ascensor
Piso en Vallehermoso  Madrid,"2.000€/mes
Garaje incluido",2 hab. 93 m² Planta 6ª exterior con ascensor
Piso en Montecarmelo  Madrid,"1.400€/mes
Garaje incluido",2 hab. 103 m² Planta 2ª exterior con ascensor
Piso en Sol  Madrid,2.500€/mes,2 hab. 140 m² Planta 2ª exterior con ascensor
Piso en Ibiza  Madrid,2.500€/mes,3 hab. 120 m² Planta 7ª interior con ascensor
Piso en Palacio  Madrid,"2.700€/mes
3.000 € 10%",1 hab. 110 m² exterior sin ascensor
Piso en calle de los Relatores  10  Lavapiés-Embajadores  Madrid,2.500€/mes,2 hab. 109 m² Bajo exterior con ascensor
Piso en calle de la Montera  Sol  Madrid,"1.600€/mes
1.700 € 6%",1 hab. 55 m² exterior con ascensor
Piso en Chueca-Justicia  Madrid,2.000€/mes,1 hab. 72 m² Planta 3ª exterior con ascensor
Piso en calle de Arturo Soria  Costillares  Madrid,2.000€/mes,4 hab. 158 m² exterior con ascensor
