Ubicación,Precio,Detalles
Piso en bulevar de José Prat  Valdebernardo - Valderrivas  Madrid,"970€/mes
Garaje incluido",3 hab. 95 m² Planta 5ª exterior con ascensor 21 horas
Piso en calle Arte Pop  8  Ensanche de Vallecas - La Gavia  Madrid,"975€/mes
Garaje incluido",2 hab. 80 m² Planta 5ª exterior con ascensor
Piso en calle Víctor Andrés Belaunde  Bernabéu-Hispanoamérica  Madrid,1.300€/mes,1 hab. 55 m² Planta 1ª interior con ascensor 21 horas
Piso en calle de Atocha  Huertas-Cortes  Madrid,1.300€/mes,1 hab. 64 m² Bajo interior con ascensor
Piso en Corredera Baja de San Pablo  47  Malasaña-Universidad  Madrid,990€/mes,1 hab. 60 m² Sótano exterior con ascensor 21 horas
Piso en Castellana  Madrid,5.500€/mes,4 hab. 220 m² Planta 1ª exterior con ascensor
Piso en calle de Alcalá  Ventas  Madrid,750€/mes,1 hab. 55 m² Planta 1ª exterior sin ascensor 21 horas
Piso en Colina  Madrid,"3.500€/mes
Garaje incluido",4 hab. 211 m² Planta 1ª exterior con ascensor
Piso en calle de Ricardo Ortiz  Ventas  Madrid,1.190€/mes,3 hab. 106 m² Planta 3ª exterior con ascensor 21 horas
Piso en calle de Modesto Lafuente  Nuevos Ministerios-Ríos Rosas  Madrid,"2.100€/mes
Garaje incluido",3 hab. 144 m² Planta 3ª exterior con ascensor
Piso en calle del Doctor Vallejo  Quintana  Madrid,900€/mes,2 hab. 60 m² Planta 3ª exterior sin ascensor 21 horas
Casa o chalet independiente en Armonía  24  Palomas  Madrid,"7.000€/mes
Garaje incluido",4 hab. 331 m²
Piso en Numancia  Madrid,"1.200€/mes
Garaje opc. 100 €/mes",3 hab. 75 m² Planta 2ª exterior con ascensor 21 horas
Piso en calle de Linneo  Imperial  Madrid,1.650€/mes,3 hab. 103 m² Planta 3ª interior con ascensor
Piso en calle Jerez de los Caballeros  2  Casco Histórico de Barajas  Madrid,"750€/mes
Garaje incluido",1 hab. 45 m² Planta 2ª exterior con ascensor 21 horas
Piso en Castellana  Madrid,"14.500€/mes
Garaje incluido",3 hab. 373 m² Planta 2ª exterior con ascensor
Piso en calle de los Yébenes  Aluche  Madrid,1.150€/mes,3 hab. 104 m² Planta 4ª exterior con ascensor 21 horas
Piso en calle de Miguel Ángel  3  Almagro  Madrid,2.200€/mes,1 hab. 55 m² Planta 7ª interior con ascensor
Piso en Rejas  Madrid,"1.350€/mes
Garaje incluido",1 hab. 51 m² Planta 1ª exterior con ascensor 21 horas
Piso en Chueca-Justicia  Madrid,1.350€/mes,1 hab. 45 m² Planta 4ª interior con ascensor
Piso en calle de las Islas Cíes  Peñagrande  Madrid,1.100€/mes,4 hab. 100 m² Planta 6ª exterior con ascensor 21 horas
Piso en Bernabéu-Hispanoamérica  Madrid,"2.500€/mes
Garaje incluido",2 hab. 120 m² Planta 9ª exterior con ascensor
Piso en calle del Real Madrid  Puerta Bonita  Madrid,960€/mes,3 hab. 61 m² Planta 2ª exterior sin ascensor 21 horas
Chalet pareado en Conde Orgaz-Piovera  Madrid,"4.500€/mes
Garaje incluido",5 hab. 313 m²
Piso en calle de los Tejedores  Amposta  Madrid,910€/mes,3 hab. 62 m² Planta 2ª exterior sin ascensor 21 horas
Piso en Bernabéu-Hispanoamérica  Madrid,"2.200€/mes
Garaje incluido",2 hab. 114 m² Planta 2ª exterior con ascensor
Piso en Goya  Madrid,950€/mes,1 hab. 50 m² Planta 4ª exterior con ascensor 21 horas
Piso en calle de Ayala  Goya  Madrid,"3.800€/mes
Garaje incluido",2 hab. 111 m² Planta 3ª exterior con ascensor
Piso en calle de O'Donnell  Goya  Madrid,4.500€/mes,3 hab. 179 m² Planta 2ª exterior con ascensor 21 horas
Piso en Almagro  Madrid,"15.000€/mes
Garaje incluido",10 hab. 1.400 m² Planta 4ª exterior con ascensor
