Ubicación,Precio,Detalles
Piso en aurora  Valdezarza  Madrid,1.000€/mes,1 hab. 42 m² Planta 1ª exterior sin ascensor 28 minutos
Piso en calle de Caleruega  50  Costillares  Madrid,2.675€/mes,3 hab. 180 m² Planta 22ª exterior con ascensor
Piso en Puerta Bonita  Madrid,900€/mes,2 hab. 55 m² Bajo exterior sin ascensor 30 minutos
Piso en El Viso  Madrid,"1.600€/mes
1.700 € 6%",2 hab. 90 m² Planta 2ª exterior con ascensor
Piso en plaza de Monterrey  Apóstol Santiago  Madrid,850€/mes,3 hab. 71 m² Planta 3ª exterior sin ascensor 30 minutos
Piso en calle del Pintor Ignacio de Zuloaga  2  Sanchinarro  Madrid,"1.225€/mes
Garaje incluido",2 hab. 76 m² Planta 5ª con ascensor 2 horas
Estudio en cuesta de las Descargas  8  Palacio  Madrid,750€/mes,40 m² Planta 1ª exterior con ascensor 31 minutos
Piso en calle de María de Molina  Castellana  Madrid,2.500€/mes,2 hab. 85 m² Planta 2ª exterior con ascensor
Piso en calle Félix Boix  32  Nueva España  Madrid,"7.800€/mes
Garaje incluido",3 hab. 590 m² Planta 5ª exterior con ascensor 33 minutos
Piso en paseo Marqués de Monistrol  Puerta del Ángel  Madrid,1.550€/mes,2 hab. 60 m² Planta 8ª exterior con ascensor
Piso en avenida de Portugal  177  Puerta del Ángel  Madrid,1.200€/mes,3 hab. 87 m² Planta 4ª exterior con ascensor 34 minutos
Piso en calle Embajadores  Lavapiés-Embajadores  Madrid,1.200€/mes,1 hab. 75 m² Planta 1ª exterior con ascensor
Piso en calle de Carlos Arniches  Lavapiés-Embajadores  Madrid,760€/mes,1 hab. 35 m² Bajo interior con ascensor 19 minutos
Chalet adosado en Ensanche de Vallecas - La Gavia  Madrid,"1.600€/mes
Garaje incluido",5 hab. 275 m²
Piso en calle de Hermosilla  Recoletos  Madrid,4.100€/mes,3 hab. 180 m² Planta 4ª exterior con ascensor 13 minutos
Piso en calle de Núñez de Balboa  Recoletos  Madrid,4.200€/mes,4 hab. 200 m² Planta 5ª exterior con ascensor
Piso en calle de José Antonio Navarrete  Conde Orgaz-Piovera  Madrid,"1.590€/mes
Garaje incluido
1.705 € 7%",2 hab. 116 m² Planta 2ª exterior con ascensor 38 minutos
Piso en calle de Isabel Clara Eugenia  43  Sanchinarro  Madrid,"1.340€/mes
Garaje incluido",2 hab. 88 m² Planta 4ª exterior con ascensor
Piso en calle de José Antonio Navarrete  Conde Orgaz-Piovera  Madrid,"1.955€/mes
Garaje incluido",3 hab. 107 m² Planta 3ª exterior con ascensor 39 minutos
Piso en calle de O'Donnell  Goya  Madrid,"9.000€/mes
Garaje incluido",4 hab. 350 m² Planta 5ª exterior con ascensor
Piso en calle de José Antonio Navarrete  Conde Orgaz-Piovera  Madrid,"1.395€/mes
Garaje incluido",2 hab. 80 m² Planta 1ª exterior con ascensor 39 minutos
Piso en calle de Lombía  Goya  Madrid,2.400€/mes,2 hab. 82 m² Planta 5ª exterior con ascensor
Piso en avenida de Machupichu  Conde Orgaz-Piovera  Madrid,"1.060€/mes
Garaje incluido",1 hab. 39 m² Planta 1ª exterior con ascensor 39 minutos
Piso en Goya  Madrid,"2.300€/mes
Garaje incluido",1 hab. 106 m² exterior con ascensor 01 sep
Piso en calle Manuel Aleixandre  12  Legazpi  Madrid,910€/mes,2 hab. 40 m² Planta 1ª exterior con ascensor 38 minutos
Piso en plaza de Cascorro  Lavapiés-Embajadores  Madrid,2.700€/mes,2 hab. 94 m² Planta 5ª exterior con ascensor
Piso en avenida del Papa Negro  Conde Orgaz-Piovera  Madrid,"1.460€/mes
Garaje incluido",2 hab. 101 m² exterior con ascensor 40 minutos
Piso en calle de Fernando VI  Chueca-Justicia  Madrid,3.000€/mes,3 hab. 124 m² Planta 2ª exterior con ascensor
Piso en Lucero  Madrid,"1.100€/mes
Garaje incluido",3 hab. 78 m² Planta 3ª con ascensor 42 minutos
Piso en Castillo de Cadanchu  Las Tablas  Madrid,"1.300€/mes
Garaje incluido",2 hab. 100 m² Planta 1ª exterior con ascensor
