Ubicación,Precio,Detalles
Piso en Almagro  Madrid,2.700€/mes,3 hab. 141 m² Bajo interior con ascensor 20 horas
Piso en Paseo De La Castellana  201  Ventilla-Almenara  Madrid,1.900€/mes,2 hab. 90 m² Planta 5ª exterior con ascensor
Piso en Lavapiés-Embajadores  Madrid,1.450€/mes,2 hab. 70 m² Planta 4ª exterior con ascensor 20 horas
Piso en paseo Castellana  203  Ventilla-Almenara  Madrid,1.900€/mes,2 hab. 90 m² Planta 5ª exterior con ascensor
Piso en calle del General Margallo  24  Cuzco-Castillejos  Madrid,1.200€/mes,2 hab. 70 m² Planta 1ª interior con ascensor 20 horas
Piso en calle del Gasómetro  Acacias  Madrid,"1.900€/mes
Garaje incluido",3 hab. 110 m² Bajo exterior sin ascensor 23 horas
Piso en calle de Camarena  112  Aluche  Madrid,950€/mes,4 hab. 70 m² Bajo exterior sin ascensor 20 horas
Piso en calle de Astorga  Ventas  Madrid,1.400€/mes,3 hab. 75 m² Bajo exterior con ascensor
Piso en paseo de La Habana  46  El Viso  Madrid,1.900€/mes,3 hab. 113 m² Planta 4ª exterior con ascensor 21 horas
Piso en alameda de osuna  50  Alameda de Osuna  Madrid,"1.700€/mes
Garaje incluido",3 hab. 156 m² Planta 3ª exterior con ascensor
Piso en paseo de La Habana  Bernabéu-Hispanoamérica  Madrid,2.600€/mes,4 hab. 165 m² Planta 5ª exterior con ascensor 21 horas
Piso en calle del Conde de Aranda  Recoletos  Madrid,1.900€/mes,1 hab. 43 m² Planta 6ª interior con ascensor
Piso en calle de la Costa Brava  47  Mirasierra  Madrid,"2.800€/mes
Garaje incluido",4 hab. 187 m² Planta 6ª exterior con ascensor 21 horas
Piso en El Santo de la Isidra  10  Los Ángeles  Madrid,"800€/mes
Garaje incluido",1 hab. 66 m² Planta 4ª exterior con ascensor
Piso en calle de Federico Grases  Puerta Bonita  Madrid,750€/mes,3 hab. 63 m² Planta 1ª exterior sin ascensor 21 horas
Piso en Canillas  Madrid,"4.500€/mes
Garaje incluido",4 hab. 323 m² Planta 7ª exterior con ascensor
Piso en calle San Severo  s/n  Alameda de Osuna  Madrid,"2.000€/mes
Garaje incluido",3 hab. 186 m² Planta 2ª exterior con ascensor 21 horas
Piso en calle la Granja de San Ildefonso  28  Ensanche de Vallecas - La Gavia  Madrid,"1.000€/mes
Garaje incluido",2 hab. 73 m² Planta 2ª exterior con ascensor
Piso en Bernabéu-Hispanoamérica  Madrid,2.200€/mes,3 hab. 102 m² Planta 1ª exterior con ascensor 21 horas
Piso en calle de Maldonado  Lista  Madrid,"3.450€/mes
Garaje incluido",4 hab. 200 m² Planta 2ª exterior con ascensor
Piso en calle Martín Muñoz de las Posadas  7  Ensanche de Vallecas - La Gavia  Madrid,"1.095€/mes
Garaje incluido",3 hab. 105 m² Planta 6ª con ascensor 21 horas
Piso en calle la Canción del Olvido  62  Los Ángeles  Madrid,"932€/mes
Garaje incluido",2 hab. 74 m² Planta 1ª exterior con ascensor
Ático en calle Víctor Hugo  5  Chueca-Justicia  Madrid,2.500€/mes,3 hab. 148 m² Planta 6ª exterior con ascensor 21 horas
Piso en calle de Caramuel  Puerta del Ángel  Madrid,1.650€/mes,2 hab. 67 m² Planta 1ª exterior sin ascensor
Piso en calle de Orense  12  Cuatro Caminos  Madrid,1.100€/mes,1 hab. 60 m² Planta 6ª exterior con ascensor 21 horas
Piso en calle del Lucero del Alba  1  Los Ángeles  Madrid,"940€/mes
Garaje incluido",2 hab. 74 m² Planta 4ª exterior con ascensor
Piso en calle de José María de Pereda  Ventas  Madrid,790€/mes,2 hab. 69 m² Planta 1ª exterior con ascensor 21 horas
Piso en calle Arte Pop  8  Ensanche de Vallecas - La Gavia  Madrid,"820€/mes
Garaje incluido",1 hab. 48 m² Planta 7ª exterior con ascensor
Piso en calle de Rafael Herrera  11  Castilla  Madrid,1.300€/mes,1 hab. 55 m² Planta 5ª exterior con ascensor 21 horas
Piso en calle de Caramuel  Puerta del Ángel  Madrid,1.650€/mes,2 hab. 86 m² Planta 1ª exterior sin ascensor
