Ubicación,Precio,Detalles
Piso en calle Del Padre Claret  Prosperidad  Madrid,"1.250€/mes
Garaje incluido",2 hab. 73 m² Planta 1ª exterior con ascensor
Piso en Almagro  Madrid,"2.700€/mes
Garaje incluido",2 hab. 117 m² exterior con ascensor
Piso en calle de Yécora  Rejas  Madrid,"1.350€/mes
Garaje incluido
1.500 € 10%",3 hab. 120 m² Planta 2ª exterior con ascensor
Piso en calle de Ayala  71  Goya  Madrid,"2.300€/mes
Garaje incluido
2.500 € 8%",3 hab. 91 m² Planta 6ª interior con ascensor
Piso en san secundino  Ventas  Madrid,850€/mes,2 hab. 55 m² Planta 2ª exterior con ascensor
Ático en calle de Cristóbal Bordiú  Nuevos Ministerios-Ríos Rosas  Madrid,"3.800€/mes
4.000 € 5%",3 hab. 141 m² Planta 6ª exterior con ascensor
Piso en tubas  Pau de Carabanchel  Madrid,"1.120€/mes
Garaje incluido",3 hab. 108 m² Bajo exterior con ascensor
Chalet pareado en Conde Orgaz-Piovera  Madrid,"4.900€/mes
Garaje incluido",5 hab. 450 m²
Chalet adosado en Conde Orgaz-Piovera  Madrid,"5.200€/mes
Garaje incluido",5 hab. 450 m² Publicado ayer
Piso en calle Arroyo del Cañaveral  66  El Cañaveral  Madrid,"1.750€/mes
Garaje incluido",2 hab. 90 m² Planta 5ª exterior con ascensor
Piso en calle de Vallehermoso  Vallehermoso  Madrid,850€/mes,1 hab. 30 m² Planta 5ª interior con ascensor
Casa o chalet independiente en calle del Sotillo  Conde Orgaz-Piovera  Madrid,"4.000€/mes
Garaje incluido
4.300 € 7%",7 hab. 242 m²
Piso en avenida de Brasilia  Guindalera  Madrid,1.850€/mes,2 hab. 100 m² Planta 6ª exterior con ascensor
Piso en calle de Isabel Clara Eugenia  39  Sanchinarro  Madrid,"1.950€/mes
Garaje incluido",2 hab. 85 m² Planta 3ª exterior con ascensor
Piso en Arcos  Madrid,995€/mes,3 hab. 83 m² Planta 2ª exterior con ascensor
Casa o chalet independiente en ronda de la Abubilla  1  Conde Orgaz-Piovera  Madrid,"4.000€/mes
Garaje incluido
4.300 € 7%",5 hab. 242 m²
Ático en calle Secoya  3  Pau de Carabanchel  Madrid,"1.400€/mes
Garaje incluido",2 hab. 75 m² Planta 6ª exterior con ascensor
Piso en Cuzco-Castillejos  Madrid,"3.800€/mes
Garaje incluido",4 hab. 246 m² exterior con ascensor
Piso en calle de la Princesa  3  Argüelles  Madrid,1.200€/mes,1 hab. 71 m² Planta 3ª interior con ascensor
Estudio en calle de Calatrava  Palacio  Madrid,"1.100€/mes
1.238 € 11%",40 m² Bajo interior con ascensor
Ático en puerta del Sol  Sol  Madrid,1.500€/mes,42 m² Planta 5ª exterior con ascensor Publicado ayer
Piso en calle de Calatrava  Palacio  Madrid,1.790€/mes,2 hab. 82 m² Planta 2ª interior con ascensor
Piso en calle de Sánchez Barcáiztegui  Pacífico  Madrid,1.400€/mes,2 hab. 68 m² Planta 6ª interior con ascensor
Piso en calle de Velázquez  Castellana  Madrid,"4.150€/mes
Garaje incluido",3 hab. 196 m² Planta 2ª exterior con ascensor
Piso en calle de Meléndez Valdés  Gaztambide  Madrid,2.000€/mes,3 hab. 75 m² Planta 1ª exterior con ascensor 22 horas
Piso en calle Arroyo del Cañaveral  64  El Cañaveral  Madrid,"840€/mes
Garaje incluido",1 hab. 52 m² Planta 4ª exterior con ascensor
Piso en calle de la Paloma  Palacio  Madrid,1.000€/mes,1 hab. 40 m² Planta 4ª interior con ascensor
Piso en Palacio  Madrid,4.450€/mes,2 hab. 178 m² Planta 3ª exterior con ascensor
Piso en Malasaña-Universidad  Madrid,950€/mes,1 hab. 30 m² Planta 3ª exterior sin ascensor
Piso en Chueca-Justicia  Madrid,2.200€/mes,1 hab. 57 m² exterior con ascensor
