Ubicación,Precio,Detalles
Piso en Goya  Madrid,2.800€/mes,3 hab. 132 m² Planta 1ª exterior con ascensor 1 hora
Piso en calle de García de Paredes  Almagro  Madrid,4.800€/mes,3 hab. 149 m² Planta 1ª exterior con ascensor
Ático en calle Lozoya  Arapiles  Madrid,1.400€/mes,41 m² interior con ascensor 2 horas
Dúplex en calle de San Bernardo  Malasaña-Universidad  Madrid,4.100€/mes,2 hab. 88 m² Planta 4ª exterior con ascensor 19 horas
Piso en calle de Aristóteles  1  San Pascual  Madrid,1.200€/mes,3 hab. 90 m² Planta 5ª exterior con ascensor 3 horas
Piso en Lista  Madrid,2.500€/mes,2 hab. 95 m² Planta 2ª exterior con ascensor
Piso en avenida de la Reina Victoria  Vallehermoso  Madrid,"1.800€/mes
Garaje incluido",3 hab. 100 m² Planta 6ª exterior con ascensor 4 horas
Piso en Recoletos  Madrid,"3.800€/mes
Garaje incluido",3 hab. 145 m² Planta 3ª exterior con ascensor
Piso en Palacio  Madrid,1.750€/mes,2 hab. 70 m² Planta 3ª interior con ascensor 5 horas
Piso en Nuevos Ministerios-Ríos Rosas  Madrid,2.190€/mes,3 hab. 80 m² Planta 4ª exterior con ascensor
Piso en Almagro  Madrid,1.900€/mes,1 hab. 89 m² Entreplanta exterior con ascensor 6 horas
Piso en Almagro  Madrid,1.900€/mes,1 hab. 95 m² Entreplanta exterior con ascensor
Piso en Ciudad Universitaria  Madrid,1.600€/mes,2 hab. 60 m² Planta 8ª exterior con ascensor 6 horas
Piso en Nuevos Ministerios-Ríos Rosas  Madrid,"3.900€/mes
Garaje incluido",4 hab. 215 m² Planta 3ª exterior con ascensor
Piso en plaza de Santa Catalina de los Donados  Sol  Madrid,2.300€/mes,3 hab. 127 m² Bajo exterior con ascensor 9 horas
Ático en calle Archiduque Alberto  23  Sanchinarro  Madrid,"1.120€/mes
Garaje incluido",1 hab. 64 m² Planta 6ª exterior con ascensor 20 horas
Piso en paseo de la Direccion  161  Valdeacederas  Madrid,"2.970€/mes
Garaje incluido",2 hab. 100 m² Planta 14ª exterior con ascensor 9 horas
Piso en Ibiza  Madrid,"2.700€/mes
Garaje incluido",4 hab. 157 m² Planta 2ª exterior con ascensor
Piso en calle de Diego de León  52  Lista  Madrid,3.500€/mes,5 hab. 220 m² Planta 3ª exterior con ascensor 8 horas
Casa o chalet independiente en calle de Arévalo Lara  Salvador  Madrid,"2.700€/mes
Garaje incluido",4 hab. 200 m² 04 sep
Dúplex en calle Ana de Austria  101  Sanchinarro  Madrid,3.375€/mes,3 hab. 120 m² Planta 1ª exterior con ascensor 9 horas
Piso en calle de Hermosilla  Goya  Madrid,1.365€/mes,2 hab. 56 m² Planta 1ª interior con ascensor
Piso en Vicente Muzas  Colina  Madrid,1.050€/mes,1 hab. 65 m² Planta 4ª exterior con ascensor 9 horas
Piso en calle de Cartagena  Guindalera  Madrid,1.300€/mes,1 hab. 79 m² Planta 4ª exterior con ascensor
Piso en calle de Coslada  11  Guindalera  Madrid,1.200€/mes,2 hab. 70 m² Planta 2ª exterior con ascensor 9 horas
Piso en calle de Diego de León  Castellana  Madrid,"3.300€/mes
Garaje opc. 100 €/mes",3 hab. 169 m² Planta 6ª exterior con ascensor
Piso en calle Villa del Prado  Delicias  Madrid,"1.280€/mes
Garaje incluido",2 hab. 148 m² Planta 4ª exterior con ascensor 9 horas
Piso en calle del Pintor Ignacio de Zuloaga  2  Sanchinarro  Madrid,"1.215€/mes
Garaje incluido",2 hab. 76 m² Planta 3ª con ascensor 04 sep
Piso en Ibiza  Madrid,2.400€/mes,3 hab. 130 m² Planta 3ª sin ascensor 10 horas
Piso en Argüelles  Madrid,2.000€/mes,1 hab. 62 m² Planta 2ª exterior con ascensor
