Ubicación,Precio,Detalles
Piso en calle santa teresa  3  Chueca-Justicia  Madrid,1.850€/mes,1 hab. 63 m² Planta 3ª exterior con ascensor 4 horas
Estudio en calle de Sor María de Ágreda  Ventas  Madrid,1.000€/mes,42 m² Bajo exterior sin ascensor 31 ago
Piso en Goya  Madrid,2.800€/mes,3 hab. 132 m² Planta 1ª exterior con ascensor 4 horas
Piso en calle de Castelló  Recoletos  Madrid,2.650€/mes,4 hab. 139 m² Planta 1ª exterior con ascensor
Ático en calle Lozoya  Arapiles  Madrid,1.400€/mes,41 m² interior con ascensor 5 horas
Piso en calle de Lagasca  Castellana  Madrid,2.800€/mes,3 hab. 84 m² Bajo interior con ascensor
Piso en calle de Aristóteles  1  San Pascual  Madrid,1.200€/mes,3 hab. 90 m² Planta 5ª exterior con ascensor 6 horas
Piso en calle de Atocha  Huertas-Cortes  Madrid,2.390€/mes,2 hab. 75 m² Planta 2ª exterior con ascensor
Piso en avenida de la Reina Victoria  Vallehermoso  Madrid,"1.800€/mes
Garaje incluido",3 hab. 100 m² Planta 6ª exterior con ascensor 7 horas
Piso en calle de Lagasca  Castellana  Madrid,2.700€/mes,2 hab. 62 m² Bajo interior con ascensor
Piso en Palacio  Madrid,1.750€/mes,2 hab. 70 m² Planta 3ª interior con ascensor 8 horas
Piso en calle de Triana  35  Nueva España  Madrid,1.825€/mes,1 hab. 25 m² Planta 1ª exterior sin ascensor
Piso en Almagro  Madrid,1.900€/mes,1 hab. 89 m² Entreplanta exterior con ascensor 8 horas
Estudio en calle de Triana  35  Nueva España  Madrid,"1.180€/mes
1.575 € 25%",20 m² Planta 1ª exterior sin ascensor
Piso en Ciudad Universitaria  Madrid,1.600€/mes,2 hab. 60 m² Planta 8ª exterior con ascensor 9 horas
Piso en calle de Triana  35  Nueva España  Madrid,2.230€/mes,2 hab. 45 m² Planta 1ª exterior sin ascensor
Piso en plaza de Santa Catalina de los Donados  Sol  Madrid,2.300€/mes,3 hab. 127 m² Bajo exterior con ascensor 11 horas
Estudio en calle de Triana  35  Nueva España  Madrid,1.775€/mes,20 m² Planta 1ª exterior sin ascensor
Piso en paseo de la Direccion  161  Valdeacederas  Madrid,"2.970€/mes
Garaje incluido",2 hab. 100 m² Planta 14ª exterior con ascensor 11 horas
Estudio en calle de Triana  35  Nueva España  Madrid,"1.240€/mes
1.650 € 25%",20 m² Planta 1ª exterior sin ascensor
Piso en calle de Diego de León  52  Lista  Madrid,3.500€/mes,5 hab. 220 m² Planta 3ª exterior con ascensor 11 horas
Piso en calle de Don Ramón de la Cruz  Recoletos  Madrid,4.500€/mes,2 hab. 164 m² Planta 4ª exterior con ascensor
Dúplex en calle Ana de Austria  101  Sanchinarro  Madrid,3.375€/mes,3 hab. 120 m² Planta 1ª exterior con ascensor 11 horas
Piso en calle de Diego de León  Castellana  Madrid,"3.500€/mes
Garaje incluido
3.750 € 7%",4 hab. 200 m² Planta 3ª exterior con ascensor
Piso en Vicente Muzas  Colina  Madrid,1.050€/mes,1 hab. 65 m² Planta 4ª exterior con ascensor 12 horas
Piso en Concepción  Madrid,"2.000€/mes
Garaje incluido",2 hab. 90 m² Planta 1ª exterior con ascensor
Piso en calle de Coslada  11  Guindalera  Madrid,1.200€/mes,2 hab. 70 m² Planta 2ª exterior con ascensor 12 horas
Piso en calle San Martín de Porres  Ciudad Universitaria  Madrid,"3.700€/mes
Garaje incluido
3.900 € 5%",5 hab. 342 m² Planta 5ª exterior con ascensor
Piso en calle Villa del Prado  Delicias  Madrid,"1.280€/mes
Garaje incluido",2 hab. 148 m² Planta 4ª exterior con ascensor 12 horas
Piso en calle de Jesús de Polanco  Peñagrande  Madrid,"1.800€/mes
Garaje incluido",2 hab. 131 m² Planta 1ª exterior con ascensor
