Ubicación,Precio,Detalles
Piso en calle del Olivar  44  Lavapiés-Embajadores  Madrid,1.200€/mes,2 hab. 56 m² Planta 2ª exterior sin ascensor 2 horas
Piso en calle de Apolonio Morales  Nueva España  Madrid,"2.200€/mes
Garaje incluido",2 hab. 98 m² exterior con ascensor
Piso en calle de San Vicente Ferrer  Malasaña-Universidad  Madrid,950€/mes,1 hab. 48 m² Bajo exterior sin ascensor 2 horas
Piso en Prosperidad  Madrid,"2.400€/mes
Garaje incluido",3 hab. 110 m² Planta 6ª exterior con ascensor
Piso en Nuevos Ministerios-Ríos Rosas  Madrid,"3.900€/mes
Garaje incluido",4 hab. 210 m² Planta 3ª exterior con ascensor 2 horas
Piso en Argüelles  Madrid,1.600€/mes,2 hab. 77 m² exterior con ascensor
Dúplex en calle de Manuel Tovar  Tres Olivos - Valverde  Madrid,"950€/mes
Garaje incluido",1 hab. 78 m² Planta 1ª exterior con ascensor 1 hora
Ático en Fuente del Berro  Madrid,"2.950€/mes
Garaje incluido",3 hab. 120 m² exterior con ascensor
Piso en Berruguete  Berruguete  Madrid,915€/mes,2 hab. 40 m² Planta 2ª interior sin ascensor 2 horas
Piso en Nueva España  Madrid,"4.000€/mes
Garaje incluido
4.500 € 11%",4 hab. 251 m² Planta 3ª exterior con ascensor
Piso en calle de Carranza  4  Trafalgar  Madrid,850€/mes,1 hab. 30 m² Planta 1ª interior sin ascensor 2 horas
Ático en Bernabéu-Hispanoamérica  Madrid,2.300€/mes,3 hab. 102 m² Planta 7ª exterior con ascensor
Piso en calle de la Virgen de los Peligros  Huertas-Cortes  Madrid,1.200€/mes,1 hab. 60 m² Planta 1ª exterior con ascensor 3 horas
Piso en Valdemarín  Madrid,"2.900€/mes
Garaje incluido",4 hab. 187 m² Bajo exterior con ascensor
Ático en calle de Ángel Muñoz  San Juan Bautista  Madrid,2.000€/mes,2 hab. 96 m² Planta 3ª exterior con ascensor 3 horas
Piso en paseo del General Martínez Campos  Almagro  Madrid,3.100€/mes,2 hab. 178 m² Planta 8ª exterior con ascensor
Piso en Bernabéu-Hispanoamérica  Madrid,"4.800€/mes
Garaje incluido",5 hab. 397 m² Planta 4ª exterior con ascensor 3 horas
Piso en Quintana  Madrid,"2.400€/mes
Garaje incluido",4 hab. 171 m² Planta 3ª exterior con ascensor
Piso en Goya  Madrid,"2.450€/mes
Garaje incluido",2 hab. 100 m² Planta 5ª exterior con ascensor 3 horas
Piso en calle de Fernández de la Hoz  Almagro  Madrid,"2.500€/mes
Garaje incluido",4 hab. 172 m² Planta 4ª con ascensor
Dúplex en paseo de Juan XXIII  40  Ciudad Universitaria  Madrid,2.200€/mes,3 hab. 130 m² Planta 11ª exterior con ascensor 3 horas
Piso en calle de Núñez de Balboa  Recoletos  Madrid,7.500€/mes,4 hab. 269 m² Planta 5ª exterior con ascensor
Piso en calle de Castelló  Castellana  Madrid,1.700€/mes,1 hab. 65 m² Planta 7ª exterior con ascensor 3 horas
Piso en calle de Atocha  Huertas-Cortes  Madrid,2.600€/mes,3 hab. 115 m² Planta 1ª exterior sin ascensor
Piso en calle del Príncipe de Vergara  109  El Viso  Madrid,1.450€/mes,2 hab. 50 m² Planta 5ª exterior con ascensor 3 horas
Piso en pasaje de Bisbal  Fuente del Berro  Madrid,"2.300€/mes
Garaje incluido",2 hab. 100 m² Planta 1ª exterior con ascensor
Piso en calle de Juan Duque  10  Imperial  Madrid,825€/mes,1 hab. 45 m² Planta 2ª interior con ascensor 3 horas
Piso en Fuente del Berro  Madrid,"2.445€/mes
Garaje incluido",2 hab. 110 m² exterior con ascensor
Piso en calle de Juan Álvarez Mendizábal  44  Argüelles  Madrid,1.250€/mes,3 hab. 120 m² Planta 3ª interior sin ascensor 3 horas
Piso en calle de O'Donnell  Goya  Madrid,"9.000€/mes
Garaje incluido",4 hab. 350 m² Planta 5ª exterior con ascensor
