Ubicación,Precio,Detalles
Piso en Vicente Muzas  Colina  Madrid,1.050€/mes,1 hab. 65 m² Planta 4ª exterior con ascensor 12 horas
Piso en calle de San Bernardo  Malasaña-Universidad  Madrid,3.600€/mes,2 hab. 90 m² Planta 3ª exterior con ascensor
Piso en calle de Coslada  11  Guindalera  Madrid,1.200€/mes,2 hab. 70 m² Planta 2ª exterior con ascensor 12 horas
Piso en paseo de la Castellana  Ventilla-Almenara  Madrid,2.400€/mes,3 hab. 163 m² Planta 8ª exterior con ascensor
Piso en calle Villa del Prado  Delicias  Madrid,"1.280€/mes
Garaje incluido",2 hab. 148 m² Planta 4ª exterior con ascensor 12 horas
Piso en calle de San Bernardo  Malasaña-Universidad  Madrid,3.600€/mes,2 hab. 85 m² Planta 3ª exterior con ascensor
Piso en Ibiza  Madrid,2.400€/mes,3 hab. 130 m² Planta 3ª sin ascensor 12 horas
Piso en calle de San Bernardo  Malasaña-Universidad  Madrid,3.600€/mes,2 hab. 90 m² Planta 3ª exterior con ascensor
Piso en calle Alonso Heredia  29  Guindalera  Madrid,1.200€/mes,3 hab. 98 m² Planta 2ª exterior con ascensor 13 horas
Casa o chalet independiente en El Plantío  Madrid,"12.000€/mes
Garaje incluido",8 hab. 1.200 m²
Piso en calle Sagasta  Trafalgar  Madrid,1.750€/mes,1 hab. 95 m² Planta 5ª exterior con ascensor 13 horas
Piso en calle de Jesús de Polanco  Peñagrande  Madrid,"2.000€/mes
Garaje incluido",2 hab. 98 m² Planta 1ª exterior con ascensor
Piso en Conde de Aranda  10  Recoletos  Madrid,8.370€/mes,3 hab. 180 m² Planta 3ª exterior con ascensor 14 horas
Piso en calle de Hermosilla  Goya  Madrid,1.450€/mes,2 hab. 46 m² Planta 5ª interior con ascensor
Piso en plaza de Arteijo  13  Pilar  Madrid,750€/mes,1 hab. 40 m² Planta 3ª exterior con ascensor 14 horas
Piso en paseo de la Infanta Isabel  Jerónimos  Madrid,1.990€/mes,4 hab. 79 m² Planta 3ª exterior con ascensor
Piso en Serrano  112  Castellana  Madrid,7.650€/mes,3 hab. 241 m² Planta 3ª exterior con ascensor 14 horas
Dúplex en calle del Príncipe de Vergara  Castellana  Madrid,"1.800€/mes
Garaje opc. 120 €/mes",1 hab. 82 m² Planta 6ª exterior con ascensor
Ático en calle Ferraz  37  Argüelles  Madrid,2.000€/mes,3 hab. 125 m² Planta 7ª exterior con ascensor 14 horas
Piso en calle de Pavía  Palacio  Madrid,2.900€/mes,2 hab. 134 m² Planta 4ª exterior con ascensor
Piso en calle de Antonio de Leyva  76  Opañel  Madrid,930€/mes,1 hab. 56 m² Planta 4ª exterior con ascensor 14 horas
Piso en yecora  Rejas  Madrid,"1.400€/mes
Garaje incluido",2 hab. 105 m² Planta 3ª exterior con ascensor
Ático en San Carlos  6  Lavapiés-Embajadores  Madrid,2.430€/mes,2 hab. 82 m² Planta 2ª exterior con ascensor 14 horas
Piso en calle de Lope de Vega  Huertas-Cortes  Madrid,1.800€/mes,1 hab. 79 m² Semi-sótano exterior sin ascensor
Piso en plaza de Corcubión  1  Pilar  Madrid,950€/mes,2 hab. 52 m² Planta 3ª exterior con ascensor 14 horas
Piso en avenida de los Andes  Conde Orgaz-Piovera  Madrid,"3.100€/mes
Garaje incluido",3 hab. 153 m² Planta 2ª exterior con ascensor
Dúplex en calle de Vallehermoso  104  Vallehermoso  Madrid,980€/mes,1 hab. 45 m² Planta 6ª interior con ascensor 14 horas
Piso en avenida de los Madroños  Conde Orgaz-Piovera  Madrid,"4.500€/mes
Garaje incluido",4 hab. 224 m² Planta 2ª exterior con ascensor
Piso en calle de las Delicias  Palos de Moguer  Madrid,1.900€/mes,3 hab. 81 m² Planta 3ª exterior sin ascensor 15 horas
Estudio en calle de Lagasca  Recoletos  Madrid,1.200€/mes,38 m² Planta 3ª interior con ascensor
