Ubicación,Precio,Detalles
Dúplex en san Juan de Ortega  100  Las Tablas  Madrid,"2.100€/mes
Garaje incluido",2 hab. 105 m² Planta 5ª interior con ascensor 17 horas
Piso en calle de Cardenal Mendoza  Puerta del Ángel  Madrid,1.100€/mes,1 hab. 65 m² Bajo exterior con ascensor 13 horas
Estudio en calle de Don Ramón de la Cruz  62  Goya  Madrid,1.500€/mes,42 m² Planta 3ª exterior con ascensor 17 horas
Piso en calle Solana de Luche  Puerta del Ángel  Madrid,1.350€/mes,3 hab. 70 m² Planta 2ª exterior sin ascensor 13 horas
Piso en paseo San Francisco de Sales  Vallehermoso  Madrid,"2.350€/mes
Garaje incluido",2 hab. 93 m² Planta 1ª exterior con ascensor 17 horas
Piso en calle industria  Puerta del Ángel  Madrid,1.050€/mes,1 hab. 50 m² Planta 2ª exterior con ascensor 13 horas
Piso en calle de Costa Rica  14  Bernabéu-Hispanoamérica  Madrid,1.450€/mes,2 hab. 75 m² Bajo exterior con ascensor 17 horas
Piso en calle industria  Puerta del Ángel  Madrid,1.050€/mes,1 hab. 50 m² Planta 1ª exterior con ascensor 13 horas
Piso en Ignacio Ellacuria  18  Ventas  Madrid,"800€/mes
Garaje incluido",1 hab. 57 m² Bajo exterior con ascensor 17 horas
Piso en Blasco de Garay  Arapiles  Madrid,1.900€/mes,2 hab. 92 m² Planta 6ª exterior con ascensor
Piso en calle Sierra de Pajarejo  7  Valdemarín  Madrid,"1.300€/mes
Garaje incluido",1 hab. 75 m² Planta 1ª exterior con ascensor 17 horas
Piso en calle Minas  7  Malasaña-Universidad  Madrid,950€/mes,2 hab. 50 m² Planta 2ª interior sin ascensor
Chalet pareado en calle de Formigal  Valdemarín  Madrid,"5.500€/mes
Garaje incluido",4 hab. 336 m² 16 horas
Piso en Recoletos  Madrid,"2.700€/mes
3.000 € 10%",2 hab. 135 m² Planta 3ª exterior con ascensor
Piso en avenida Betanzos  Pilar  Madrid,950€/mes,2 hab. 60 m² Planta 4ª exterior con ascensor 17 horas
Piso en calle de Amaniel  Malasaña-Universidad  Madrid,1.300€/mes,1 hab. 65 m² Planta 1ª exterior con ascensor
Piso en calle Mozart  Casa de Campo  Madrid,"1.500€/mes
Garaje incluido",2 hab. 105 m² Planta 7ª exterior con ascensor 17 horas
Estudio en Quintana  Madrid,650€/mes,29 m² Bajo exterior sin ascensor 04 sep
Piso en calle de Altamirano  6  Argüelles  Madrid,1.800€/mes,3 hab. 62 m² Planta 5ª interior con ascensor 3 horas
Piso en Huertas-Cortes  Madrid,"3.500€/mes
Garaje incluido",3 hab. 129 m² Planta 6ª exterior con ascensor
Piso en Nuevos Ministerios-Ríos Rosas  Madrid,2.700€/mes,3 hab. 141 m² Bajo interior con ascensor 18 horas
Dúplex en calle de Palafox  Trafalgar  Madrid,3.900€/mes,2 hab. 108 m² Planta 4ª exterior con ascensor
Piso en calle del Monte Urgull  Numancia  Madrid,790€/mes,2 hab. 39 m² Planta 1ª exterior sin ascensor 18 horas
Estudio en calle de San Lorenzo  Chueca-Justicia  Madrid,2.200€/mes,50 m² Bajo exterior con ascensor
Piso en calle de Oliva de Plasencia  Águilas  Madrid,850€/mes,3 hab. 75 m² Planta 4ª exterior con ascensor 18 horas
Piso en calle de San Bernardo  Malasaña-Universidad  Madrid,3.600€/mes,2 hab. 85 m² Planta 3ª exterior con ascensor
Piso en Trafalgar  Madrid,1.500€/mes,3 hab. 73 m² Planta 1ª exterior con ascensor 18 horas
Piso en calle de San Bernardo  Malasaña-Universidad  Madrid,3.600€/mes,2 hab. 85 m² Planta 3ª exterior con ascensor
Piso en avenida de la Aviación  Águilas  Madrid,800€/mes,3 hab. 90 m² Planta 4ª exterior sin ascensor 18 horas
Piso en paseo de la Dirección  Valdeacederas  Madrid,"2.300€/mes
Garaje incluido",1 hab. 50 m² Planta 22ª exterior con ascensor
