Ubicación,Precio,Detalles
Piso en calle de Benito Gutiérrez  35  Argüelles  Madrid,2.200€/mes,3 hab. 105 m² Planta 1ª exterior con ascensor 22 horas
Dúplex en calle de la Buganvilla  4  Castilla  Madrid,"3.100€/mes
Garaje incluido",4 hab. 318 m² Planta 4ª exterior con ascensor
Piso en Montecarmelo  Madrid,"1.400€/mes
Garaje incluido",2 hab. 103 m² Planta 2ª exterior con ascensor 23 horas
Piso en Bernabéu-Hispanoamérica  Madrid,1.900€/mes,2 hab. 70 m² Planta 2ª exterior sin ascensor
Piso en Ibiza  Madrid,2.500€/mes,3 hab. 120 m² Planta 7ª interior con ascensor 23 horas
Piso en Vallehermoso  Madrid,"2.000€/mes
Garaje incluido",2 hab. 93 m² Planta 6ª exterior con ascensor
Piso en calle de los Relatores  10  Lavapiés-Embajadores  Madrid,2.500€/mes,2 hab. 109 m² Bajo exterior con ascensor 23 horas
Piso en Sol  Madrid,2.500€/mes,2 hab. 140 m² Planta 2ª exterior con ascensor
Piso en Chueca-Justicia  Madrid,2.000€/mes,1 hab. 72 m² Planta 3ª exterior con ascensor 23 horas
Piso en calle de la Montera  Sol  Madrid,"1.600€/mes
1.700 € 6%",1 hab. 55 m² exterior con ascensor
Piso en calle del Acuerdo  Malasaña-Universidad  Madrid,850€/mes,1 hab. 45 m² Planta 4ª exterior sin ascensor 23 horas
Piso en Palacio  Madrid,"2.700€/mes
3.000 € 10%",1 hab. 110 m² exterior sin ascensor
Piso en Artesa de Segre  Ciudad Universitaria  Madrid,"3.000€/mes
Garaje incluido",4 hab. 242 m² Planta 4ª exterior con ascensor 23 horas
Piso en Nuevos Ministerios-Ríos Rosas  Madrid,2.500€/mes,3 hab. 118 m² exterior con ascensor
Ático en calle de Mauricio Legendre  39  Castilla  Madrid,1.350€/mes,3 hab. 100 m² Planta 13ª exterior con ascensor 23 horas
Piso en calle de Arturo Soria  Costillares  Madrid,2.000€/mes,4 hab. 158 m² exterior con ascensor
Piso en calle de Cáceres  Chopera  Madrid,1.500€/mes,2 hab. 87 m² Planta 8ª exterior con ascensor 23 horas
Piso en Lavapiés-Embajadores  Madrid,1.700€/mes,2 hab. 80 m² Planta 3ª exterior sin ascensor
Ático en calle Nenúfar  6  Berruguete  Madrid,1.250€/mes,1 hab. 70 m² Planta 3ª exterior con ascensor 23 horas
Ático en Nuevos Ministerios-Ríos Rosas  Madrid,"3.200€/mes
3.400 € 6%",3 hab. 140 m² exterior con ascensor
Piso en calle de San Nicolás  Palacio  Madrid,1.650€/mes,1 hab. 105 m² Bajo exterior con ascensor 23 horas
Piso en Palomas  Madrid,"1.900€/mes
Garaje incluido",3 hab. 144 m² Planta 2ª exterior con ascensor
Piso en calle de Fernández de los Ríos  Gaztambide  Madrid,1.600€/mes,1 hab. 58 m² Planta 13ª interior con ascensor 23 horas
Piso en Ciudad Jardín  Madrid,"2.800€/mes
Garaje incluido",2 hab. 175 m² Planta 2ª exterior con ascensor
Piso en calle de Amaniel  Malasaña-Universidad  Madrid,1.200€/mes,2 hab. 43 m² Planta 3ª interior con ascensor 23 horas
Piso en Palomas  Madrid,"2.400€/mes
Garaje incluido",3 hab. 144 m² Planta 2ª exterior con ascensor
Piso en calle Almagro  30  Almagro  Madrid,1.350€/mes,1 hab. 60 m² Bajo interior con ascensor 23 horas
Piso en Malasaña-Universidad  Madrid,3.600€/mes,3 hab. 180 m² Planta 4ª exterior con ascensor
Piso en calle Bahía de Palma  14  Campo de las Naciones-Corralejos  Madrid,"1.300€/mes
Garaje incluido",2 hab. 110 m² Planta 3ª exterior con ascensor 23 horas
Dúplex en Conde Orgaz-Piovera  Madrid,"2.800€/mes
Garaje incluido",2 hab. 105 m² Planta 4ª exterior con ascensor
