Ubicación,Precio,Detalles
Piso en calle Cabo Nicolás Mur  San Isidro  Madrid,895€/mes,3 hab. 75 m² Planta 2ª exterior sin ascensor 15 horas
Ático en calle de Arganzuela  Lavapiés-Embajadores  Madrid,3.100€/mes,2 hab. 158 m² Planta 5ª exterior con ascensor
Piso en calle del Doctor Cortezo  Lavapiés-Embajadores  Madrid,2.200€/mes,4 hab. 145 m² Planta 4ª exterior con ascensor 15 horas
Ático en plaza del Ángel  Huertas-Cortes  Madrid,2.000€/mes,1 hab. 54 m² Planta 4ª exterior con ascensor
Piso en calle de la Infanta Mercedes  Cuatro Caminos  Madrid,"1.495€/mes
Garaje incluido",3 hab. 80 m² Planta 7ª exterior con ascensor 14 horas
Piso en calle de Calatrava  Palacio  Madrid,1.875€/mes,2 hab. 105 m² Planta 3ª exterior con ascensor
Piso en calle de Fray José Cerdeiriña  Águilas  Madrid,700€/mes,2 hab. 65 m² Planta 5ª exterior sin ascensor 15 horas
Piso en calle de Calatrava  Palacio  Madrid,"1.500€/mes
1.620 € 7%",1 hab. 67 m² Planta 3ª exterior con ascensor
Piso en calle villamanin  Lucero  Madrid,1.100€/mes,3 hab. 90 m² Planta 11ª exterior con ascensor 14 horas
Estudio en calle de Arganzuela  Lavapiés-Embajadores  Madrid,"1.400€/mes
1.535 € 9%",67 m² Planta 2ª exterior con ascensor
Piso en calle del Apóstol Santiago  68  Ventas  Madrid,890€/mes,1 hab. 58 m² Planta 5ª exterior con ascensor 15 horas
Piso en calle de Arganzuela  Lavapiés-Embajadores  Madrid,"1.550€/mes
1.750 € 11%",1 hab. 78 m² Planta 4ª exterior con ascensor
Piso en Poeta Joan Maragall  Cuzco-Castillejos  Madrid,"2.700€/mes
Garaje incluido",2 hab. 89 m² Planta 18ª exterior con ascensor 14 horas
Piso en calle del Carmen  Sol  Madrid,"2.700€/mes
2.950 € 8%",3 hab. 95 m² Planta 4ª exterior con ascensor
Piso en Nuñez de Balboa  56  Recoletos  Madrid,2.700€/mes,1 hab. 70 m² Planta 2ª exterior con ascensor 15 horas
Piso en calle de Alejandro Saint Aubin  Chopera  Madrid,1.900€/mes,2 hab. 53 m² Planta 2ª exterior con ascensor
Dúplex en Mirasierra  Madrid,"2.800€/mes
Garaje incluido",3 hab. 281 m² Planta 3ª exterior con ascensor 12 horas
Piso en Guindalera  Madrid,1.800€/mes,3 hab. 125 m² Planta 1ª exterior con ascensor
Piso en calle de la Oca  Vista Alegre  Madrid,945€/mes,2 hab. 56 m² Planta 3ª exterior con ascensor 16 horas
Piso en calle de Barrilero  Adelfas  Madrid,"1.400€/mes
Garaje incluido",2 hab. 80 m² Planta 2ª exterior con ascensor
Dúplex en paseo de la Direccion  Berruguete  Madrid,"1.600€/mes
Garaje opc. 90 €/mes",3 hab. 145 m² Planta 4ª exterior con ascensor 16 horas
Piso en Palacio  Madrid,"2.750€/mes
2.900 € 5%",3 hab. 135 m² Planta 3ª exterior con ascensor
Piso en calle de Wad-Ras  Bellas Vistas  Madrid,780€/mes,2 hab. 42 m² Bajo interior sin ascensor 16 horas
Piso en calle de Tortosa  Palos de Moguer  Madrid,"1.800€/mes
1.900 € 5%",2 hab. 80 m² Planta 3ª exterior con ascensor
Piso en calle del Barco  9  Malasaña-Universidad  Madrid,1.050€/mes,2 hab. 65 m² Planta 2ª interior con ascensor 16 horas
Piso en Almagro  Madrid,"1.900€/mes
2.100 € 10%",1 hab. 97 m² Entreplanta exterior con ascensor
Piso en Segovia  Palacio  Madrid,970€/mes,2 hab. 37 m² Bajo interior sin ascensor 16 horas
Ático en Ciudad Jardín  Madrid,"4.700€/mes
Garaje incluido",3 hab. 228 m² Planta 7ª exterior con ascensor 22 horas
Piso en calle de Sánchez Barcáiztegui  Pacífico  Madrid,"2.000€/mes
Garaje incluido",4 hab. 106 m² Planta 3ª exterior con ascensor 3 horas
Piso en calle de la Sierra de los Filabres  37  Numancia  Madrid,620€/mes,1 hab. 25 m² Planta 1ª interior sin ascensor
