Ubicación,Precio,Detalles
Piso en calle de Santa Cruz de Mudela  Almendrales  Madrid,900€/mes,4 hab. 80 m² Planta 4ª exterior con ascensor 21 horas
Piso en calle de Lagasca  Recoletos  Madrid,3.500€/mes,1 hab. 150 m² Planta 6ª exterior con ascensor
Piso en calle de Francisco Suárez  Nueva España  Madrid,"2.400€/mes
Garaje incluido",4 hab. 150 m² Planta 3ª exterior con ascensor 21 horas
Piso en calle Anna Frank  19  El Cañaveral  Madrid,"1.085€/mes
Garaje incluido",2 hab. 85 m² Planta 3ª exterior con ascensor
Piso en calle del Espejo  Palacio  Madrid,1.700€/mes,2 hab. 70 m² Planta 3ª interior con ascensor 1 hora
Dúplex en calle de Lagasca  Castellana  Madrid,"9.000€/mes
Garaje incluido",5 hab. 320 m² Planta 5ª exterior con ascensor
Piso en Niño Jesús  Madrid,"3.700€/mes
Garaje incluido",4 hab. 214 m² Planta 6ª exterior con ascensor 21 horas
Piso en Nueva España  Madrid,"3.500€/mes
Garaje incluido",4 hab. 210 m² exterior con ascensor
Piso en calle del Porvenir  Fuente del Berro  Madrid,1.200€/mes,2 hab. 67 m² Planta 2ª exterior sin ascensor 22 horas
Ático en calle Anna Frank  19  El Cañaveral  Madrid,"1.325€/mes
Garaje incluido",2 hab. 114 m² Planta 7ª exterior con ascensor
Piso en calle del Limón  Malasaña-Universidad  Madrid,1.500€/mes,3 hab. 80 m² Planta 4ª exterior sin ascensor 22 horas
Casa o chalet independiente en Valdemarín  Madrid,"5.250€/mes
Garaje incluido",5 hab. 343 m²
Piso en calle de Alucas  4  Pueblo Nuevo  Madrid,850€/mes,2 hab. 55 m² Planta 3ª exterior con ascensor 22 horas
Piso en Vallehermoso  Madrid,"2.600€/mes
Garaje incluido",3 hab. 173 m² Planta 8ª exterior con ascensor
Piso en calle drácena  Nueva España  Madrid,1.500€/mes,2 hab. 80 m² Planta 1ª exterior con ascensor 22 horas
Ático en calle Arroyo del Cañaveral  66  El Cañaveral  Madrid,"1.595€/mes
Garaje incluido",1 hab. 64 m² Planta 7ª exterior con ascensor
Piso en calle del Conde de Peñalver  83  Lista  Madrid,2.200€/mes,2 hab. 65 m² Planta 4ª interior con ascensor 22 horas
Piso en calle de Lagasca  99  Castellana  Madrid,"14.000€/mes
Garaje incluido",4 hab. 355 m² Planta 6ª exterior con ascensor
Piso en calle Provisiones  Lavapiés-Embajadores  Madrid,1.650€/mes,3 hab. 87 m² Planta 5ª exterior con ascensor 1 hora
Piso en calle de las Viñas del Rio  16  Butarque  Madrid,"1.150€/mes
Garaje incluido",3 hab. 93 m² Planta 1ª exterior con ascensor
Ático en Trafalgar  Madrid,2.100€/mes,1 hab. 83 m² Planta 6ª exterior con ascensor 22 horas
Ático en calle de Núñez de Balboa  Castellana  Madrid,"6.950€/mes
Garaje incluido",5 hab. 268 m² Planta 6ª exterior con ascensor
Ático en calle de Palafox  Trafalgar  Madrid,3.900€/mes,2 hab. 89 m² Planta 5ª exterior sin ascensor 22 horas
Piso en calle de las Viñas del Rio  16  Butarque  Madrid,"825€/mes
Garaje incluido",1 hab. 50 m² Planta 1ª exterior con ascensor
Piso en calle de Don Ramón de la Cruz  Castellana  Madrid,5.500€/mes,4 hab. 230 m² Planta 1ª exterior con ascensor 22 horas
Piso en calle de las Viñas del Rio  16  Butarque  Madrid,"995€/mes
Garaje incluido",2 hab. 83 m² Planta 1ª exterior con ascensor
Piso en calle de Diego de León  Lista  Madrid,2.700€/mes,4 hab. 146 m² Planta 4ª exterior con ascensor 22 horas
Dúplex en calle de la Buganvilla  4  Castilla  Madrid,"3.100€/mes
Garaje incluido",4 hab. 318 m² Planta 4ª exterior con ascensor
Piso en calle de Benito Gutiérrez  35  Argüelles  Madrid,2.200€/mes,3 hab. 105 m² Planta 1ª exterior con ascensor 22 horas
Piso en Fuente del Berro  Madrid,"3.300€/mes
Garaje opc. 120 €/mes",4 hab. 165 m² exterior con ascensor
