Ubicación,Precio,Detalles
Piso en Goya  Madrid,"2.450€/mes
Garaje incluido",2 hab. 100 m² Planta 5ª exterior con ascensor 3 horas
Piso en Nueva España  Madrid,"4.000€/mes
Garaje incluido
4.500 € 11%",4 hab. 251 m² Planta 3ª exterior con ascensor
Dúplex en paseo de Juan XXIII  40  Ciudad Universitaria  Madrid,2.200€/mes,3 hab. 130 m² Planta 11ª exterior con ascensor 3 horas
Ático en Bernabéu-Hispanoamérica  Madrid,2.300€/mes,3 hab. 102 m² Planta 7ª exterior con ascensor
Piso en calle de Castelló  Castellana  Madrid,1.700€/mes,1 hab. 65 m² Planta 7ª exterior con ascensor 3 horas
Piso en Valdemarín  Madrid,"2.900€/mes
Garaje incluido",4 hab. 187 m² Bajo exterior con ascensor
Piso en calle del Príncipe de Vergara  109  El Viso  Madrid,1.450€/mes,2 hab. 50 m² Planta 5ª exterior con ascensor 3 horas
Piso en Quintana  Madrid,"2.400€/mes
Garaje incluido",4 hab. 171 m² Planta 3ª exterior con ascensor
Piso en calle de Juan Duque  10  Imperial  Madrid,825€/mes,1 hab. 45 m² Planta 2ª interior con ascensor 3 horas
Piso en paseo del General Martínez Campos  Almagro  Madrid,3.100€/mes,2 hab. 178 m² Planta 8ª exterior con ascensor
Piso en calle de Juan Álvarez Mendizábal  44  Argüelles  Madrid,1.250€/mes,3 hab. 120 m² Planta 3ª interior sin ascensor 3 horas
Piso en calle de Fernández de la Hoz  Almagro  Madrid,"2.500€/mes
Garaje incluido",4 hab. 172 m² Planta 4ª con ascensor
Ático en calle del Cactus  1  Berruguete  Madrid,1.100€/mes,1 hab. 62 m² Planta 2ª interior con ascensor 3 horas
Piso en calle de Núñez de Balboa  Recoletos  Madrid,7.500€/mes,4 hab. 269 m² Planta 5ª exterior con ascensor
Piso en calle del Olivar  13  Lavapiés-Embajadores  Madrid,750€/mes,1 hab. 30 m² Bajo con ascensor 3 horas
Piso en calle de Atocha  Huertas-Cortes  Madrid,2.600€/mes,3 hab. 115 m² Planta 1ª exterior sin ascensor
Piso en calle Arturo Soria  328  Costillares  Madrid,1.900€/mes,4 hab. 160 m² Planta 6ª exterior con ascensor 3 horas
Piso en calle de O'Donnell  Goya  Madrid,"9.000€/mes
Garaje incluido",4 hab. 350 m² Planta 5ª exterior con ascensor
Piso en calle de Guipúzcoa  6  Cuatro Caminos  Madrid,850€/mes,1 hab. 50 m² Bajo interior sin ascensor 3 horas
Piso en Fuente del Berro  Madrid,"2.445€/mes
Garaje incluido",2 hab. 110 m² exterior con ascensor
Estudio en calle de Buenavista  20  Lavapiés-Embajadores  Madrid,950€/mes,60 m² Planta 1ª exterior sin ascensor 4 horas
Piso en calle de la Costa Brava  Mirasierra  Madrid,"1.600€/mes
Garaje incluido",1 hab. 60 m² Planta 4ª exterior con ascensor
Ático en calle del Príncipe de Vergara  211  El Viso  Madrid,1.450€/mes,2 hab. 67 m² Planta 10ª exterior con ascensor 4 horas
Piso en pasaje de Bisbal  Fuente del Berro  Madrid,"2.300€/mes
Garaje incluido",2 hab. 100 m² Planta 1ª exterior con ascensor
Piso en Los Cármenes  Madrid,1.700€/mes,3 hab. 72 m² Planta 3ª exterior con ascensor 1 hora
Piso en paseo de la Dirección  161  Valdeacederas  Madrid,"2.500€/mes
Garaje incluido",3 hab. 145 m² Planta 9ª exterior con ascensor
Piso en calle santa teresa  3  Chueca-Justicia  Madrid,1.850€/mes,1 hab. 63 m² Planta 3ª exterior con ascensor 4 horas
Estudio en calle de Sor María de Ágreda  Ventas  Madrid,1.000€/mes,42 m² Bajo exterior sin ascensor 31 ago
Piso en Goya  Madrid,2.800€/mes,3 hab. 132 m² Planta 1ª exterior con ascensor 4 horas
Piso en calle de Núñez de Balboa  Recoletos  Madrid,"4.200€/mes
Garaje incluido",4 hab. 220 m² Planta 5ª exterior con ascensor
