Ubicación,Precio,Detalles
Piso en calle del Acuerdo  Malasaña-Universidad  Madrid,850€/mes,1 hab. 45 m² Planta 4ª exterior sin ascensor
Piso en Nuevos Ministerios-Ríos Rosas  Madrid,2.500€/mes,3 hab. 118 m² exterior con ascensor
Piso en Artesa de Segre  Ciudad Universitaria  Madrid,"3.000€/mes
Garaje incluido",4 hab. 242 m² Planta 4ª exterior con ascensor
Piso en calle de Arturo Soria  Costillares  Madrid,2.000€/mes,4 hab. 158 m² exterior con ascensor
Ático en calle de Mauricio Legendre  39  Castilla  Madrid,1.350€/mes,3 hab. 100 m² Planta 13ª exterior con ascensor
Ático en Nuevos Ministerios-Ríos Rosas  Madrid,"3.200€/mes
3.400 € 6%",3 hab. 140 m² exterior con ascensor
Piso en calle de Cáceres  Chopera  Madrid,1.500€/mes,2 hab. 87 m² Planta 8ª exterior con ascensor
Piso en Palomas  Madrid,"1.900€/mes
Garaje incluido",3 hab. 144 m² Planta 2ª exterior con ascensor
Ático en calle Nenúfar  6  Berruguete  Madrid,1.250€/mes,1 hab. 70 m² Planta 3ª exterior con ascensor
Piso en Palomas  Madrid,"2.400€/mes
Garaje incluido",3 hab. 144 m² Planta 2ª exterior con ascensor
Piso en calle de San Nicolás  Palacio  Madrid,1.650€/mes,1 hab. 105 m² Bajo exterior con ascensor
Piso en Malasaña-Universidad  Madrid,3.600€/mes,3 hab. 180 m² Planta 4ª exterior con ascensor
Piso en calle de Fernández de los Ríos  Gaztambide  Madrid,1.600€/mes,1 hab. 58 m² Planta 13ª interior con ascensor
Piso en Ciudad Jardín  Madrid,"2.800€/mes
Garaje incluido",2 hab. 175 m² Planta 2ª exterior con ascensor
Piso en calle de Amaniel  Malasaña-Universidad  Madrid,1.200€/mes,2 hab. 43 m² Planta 3ª interior con ascensor
Ático en Recoletos  Madrid,5.000€/mes,2 hab. 180 m² Planta 7ª exterior con ascensor
Piso en calle Almagro  30  Almagro  Madrid,1.350€/mes,1 hab. 60 m² Bajo interior con ascensor Publicado ayer
Dúplex en Conde Orgaz-Piovera  Madrid,"2.800€/mes
Garaje incluido",2 hab. 105 m² Planta 4ª exterior con ascensor
Piso en calle Bahía de Palma  14  Campo de las Naciones-Corralejos  Madrid,"1.300€/mes
Garaje incluido",2 hab. 110 m² Planta 3ª exterior con ascensor
Piso en calle de Sánchez Barcáiztegui  9  Pacífico  Madrid,1.300€/mes,2 hab. 54 m² Planta 1ª interior con ascensor
Piso en Bernabéu-Hispanoamérica  Madrid,1.500€/mes,2 hab. 87 m² Planta 2ª exterior con ascensor
Piso en calle Pintor Ignacio de Zuloaga  16  Sanchinarro  Madrid,"1.650€/mes
Garaje incluido",1 hab. 51 m² Planta 5ª exterior con ascensor
Piso en calle de Núñez de Balboa  Castellana  Madrid,"2.800€/mes
Garaje incluido",3 hab. 114 m² Planta 2ª exterior con ascensor
Piso en calle de Trueba y Fernández  Bernabéu-Hispanoamérica  Madrid,2.400€/mes,2 hab. 85 m² Planta 3ª exterior con ascensor
Piso en plaza Nuestra Señora del Pilar  4  Prosperidad  Madrid,1.350€/mes,2 hab. 67 m² Planta 2ª exterior sin ascensor
Piso en Entrevías  Madrid,890€/mes,2 hab. 80 m² Planta 1ª exterior con ascensor
Piso en avenida del Ensanche de Vallecas  Ensanche de Vallecas - La Gavia  Madrid,"1.350€/mes
Garaje incluido",3 hab. 110 m² Planta 2ª exterior con ascensor
Piso en calle de Ferrer del Río  Guindalera  Madrid,2.000€/mes,2 hab. 100 m² Planta 3ª exterior con ascensor
Piso en calle Del Padre Claret  Prosperidad  Madrid,"1.250€/mes
Garaje incluido",2 hab. 73 m² Planta 1ª exterior con ascensor
Piso en Almagro  Madrid,"2.700€/mes
Garaje incluido",2 hab. 117 m² exterior con ascensor
