Ubicación,Precio,Detalles
Piso en calle de Sánchez Barcáiztegui  Pacífico  Madrid,"2.000€/mes
Garaje incluido",4 hab. 106 m² Planta 3ª exterior con ascensor 3 horas
Piso en calle de la Sierra de los Filabres  37  Numancia  Madrid,620€/mes,1 hab. 25 m² Planta 1ª interior sin ascensor
Chalet adosado en Aravaca  Madrid,2.900€/mes,3 hab. 120 m² 16 horas
Estudio en calle Galería de Robles  Malasaña-Universidad  Madrid,850€/mes,45 m² Bajo interior sin ascensor
Piso en calle de Valencia  Lavapiés-Embajadores  Madrid,750€/mes,1 hab. 33 m² Planta 1ª interior sin ascensor 16 horas
Piso en paseo de Santa María de la Cabeza  Chopera  Madrid,1.590€/mes,2 hab. 90 m² Planta 2ª exterior con ascensor
Estudio en calle Embalse de Navacerrada  Ensanche de Vallecas - La Gavia  Madrid,"795€/mes
Garaje incluido",33 m² Planta 5ª exterior con ascensor 17 horas
Piso en calle Sandalio López  Tres Olivos - Valverde  Madrid,950€/mes,1 hab. 35 m² Bajo exterior sin ascensor
Piso en calle Martínez Corrochano  29  Adelfas  Madrid,800€/mes,1 hab. 40 m² Planta 1ª exterior con ascensor 17 horas
Piso en Jerte  Palacio  Madrid,1.090€/mes,1 hab. 55 m² Planta 3ª interior con ascensor
Piso en plaza de Andrés Manjón  7  Castilla  Madrid,1.400€/mes,2 hab. 75 m² Bajo exterior con ascensor 17 horas
Piso en calle de la Reina Mercedes  8  Cuatro Caminos  Madrid,990€/mes,1 hab. 55 m² Bajo exterior sin ascensor
Piso en calle de Bretón de los Herreros  20  Nuevos Ministerios-Ríos Rosas  Madrid,900€/mes,2 hab. 50 m² Planta 1ª interior con ascensor 17 horas
Piso en calle de Aniceto Pérez  12 de Octubre-Orcasur  Madrid,"990€/mes
Garaje opc. 90 €/mes",2 hab. 45 m² Bajo exterior con ascensor
Ático en calle de Luchana  Trafalgar  Madrid,4.300€/mes,3 hab. 184 m² Planta 7ª exterior con ascensor 15 horas
Piso en calle de la Ribera de Curtidores  Lavapiés-Embajadores  Madrid,1.250€/mes,1 hab. 55 m² Planta 3ª exterior con ascensor
Piso en Goya  Madrid,990€/mes,1 hab. 65 m² Planta 5ª exterior con ascensor 17 horas
Piso en calle Calatrava  Palacio  Madrid,950€/mes,1 hab. 50 m² Planta 3ª interior sin ascensor
Estudio en Malasaña-Universidad  Madrid,1.000€/mes,35 m² Planta 2ª interior con ascensor 17 horas
Estudio en calle Mayor  Sol  Madrid,1.050€/mes,35 m² Planta 3ª exterior con ascensor
Piso en calle de Ibiza  Ibiza  Madrid,2.000€/mes,1 hab. 87 m² Planta 2ª exterior con ascensor 17 horas
Piso en calle del Marqués de Mondéjar  Fuente del Berro  Madrid,1.150€/mes,1 hab. 50 m² Planta 1ª interior sin ascensor
Ático en calle de Alcántara  Lista  Madrid,2.900€/mes,3 hab. 120 m² Planta 7ª exterior con ascensor 15 horas
Piso en calle Tírvia  Ciudad Universitaria  Madrid,1.050€/mes,1 hab. 43 m² Bajo exterior sin ascensor 30 ago
Piso en Calamón  Campamento  Madrid,2.100€/mes,3 hab. 74 m² Planta 3ª exterior sin ascensor 17 horas
Ático en calle de la Princesa  26  Malasaña-Universidad  Madrid,1.360€/mes,2 hab. 60 m² Planta 5ª interior con ascensor
Dúplex en san Juan de Ortega  100  Las Tablas  Madrid,"2.100€/mes
Garaje incluido",2 hab. 105 m² Planta 5ª interior con ascensor 17 horas
Estudio en Lagasca  Recoletos  Madrid,1.100€/mes,32 m² Planta 4ª interior con ascensor
Estudio en calle de Don Ramón de la Cruz  62  Goya  Madrid,1.500€/mes,42 m² Planta 3ª exterior con ascensor 17 horas
Piso en ronda de Segovia  50  Imperial  Madrid,1.700€/mes,3 hab. 110 m² Planta 1ª exterior con ascensor 23 horas
