Ubicación,Precio,Detalles
Piso en Peñagrande  Madrid,"3.200€/mes
Garaje incluido",4 hab. 238 m² Planta 6ª exterior con ascensor 19 horas
Ático en plaza de Juan Zorrilla  Vallehermoso  Madrid,2.300€/mes,3 hab. 138 m² Planta 7ª exterior con ascensor
Ático en calle de O'Donnell  40  Ibiza  Madrid,"3.600€/mes
Garaje opc. 140 €/mes",3 hab. 150 m² Planta 8ª exterior con ascensor 19 horas
Piso en calle de Santa Isabel  42  Lavapiés-Embajadores  Madrid,1.490€/mes,2 hab. 76 m² Planta 3ª exterior con ascensor 23 horas
Piso en Cava Baja  Palacio  Madrid,2.200€/mes,3 hab. 110 m² Planta 3ª exterior con ascensor 19 horas
Piso en calle del Divino Pastor  Malasaña-Universidad  Madrid,1.800€/mes,2 hab. 77 m² Planta 1ª exterior con ascensor
Piso en calle de la Villa de Marín  29  La Paz  Madrid,"1.800€/mes
Garaje incluido",4 hab. 137 m² Planta 11ª exterior con ascensor 19 horas
Piso en calle Donoso Cortés  Gaztambide  Madrid,3.000€/mes,5 hab. 130 m² Planta 5ª exterior con ascensor
Piso en calle del Puerto del Bruch  Casco Histórico de Vallecas  Madrid,910€/mes,3 hab. 58 m² Planta 4ª exterior sin ascensor 20 horas
Piso en avenida del talgo  Aravaca  Madrid,"1.200€/mes
Garaje incluido",2 hab. 70 m² Planta 4ª exterior con ascensor
Piso en calle de Dulce Chacón  Virgen del Cortijo - Manoteras  Madrid,"3.000€/mes
Garaje incluido",3 hab. 160 m² Planta 1ª interior con ascensor 20 horas
Piso en Estrella  Madrid,"2.500€/mes
Garaje opc. 150 €/mes",3 hab. 165 m² exterior con ascensor
Piso en Arturo soria  Costillares  Madrid,"1.390€/mes
Garaje incluido",3 hab. 110 m² Bajo exterior con ascensor 18 horas
Piso en calle Anna Frank  19  El Cañaveral  Madrid,"1.395€/mes
Garaje incluido",3 hab. 132 m² Bajo exterior con ascensor
Piso en calle del Espíritu Santo  24  Malasaña-Universidad  Madrid,1.300€/mes,1 hab. 50 m² Planta 1ª exterior con ascensor 20 horas
Piso en Malasaña-Universidad  Madrid,3.100€/mes,3 hab. 170 m² exterior con ascensor
Piso en calle de Joaquín Martín  Opañel  Madrid,800€/mes,1 hab. 50 m² Planta 2ª exterior sin ascensor 19 horas
Piso en Castilla  Madrid,"3.950€/mes
Garaje incluido",3 hab. 171 m² Planta 1ª exterior con ascensor
Piso en avenida de Secundino Zuazo  73  Valdebebas - Valdefuentes  Madrid,"1.150€/mes
Garaje incluido",3 hab. 120 m² Planta 3ª exterior con ascensor 20 horas
Piso en Argüelles  Madrid,2.500€/mes,1 hab. 73 m² Planta 12ª exterior con ascensor
Piso en calle de Ocaña  56  Aluche  Madrid,850€/mes,3 hab. 70 m² Bajo exterior con ascensor 20 horas
Piso en calle de Tribulete  Lavapiés-Embajadores  Madrid,1.100€/mes,2 hab. 47 m² Planta 2ª exterior con ascensor
Piso en avenida Moratalaz  Vinateros  Madrid,775€/mes,2 hab. 64 m² Planta 4ª exterior con ascensor 20 horas
Piso en plaza de las Cortes  Huertas-Cortes  Madrid,1.500€/mes,1 hab. 60 m² Planta 5ª exterior con ascensor
Piso en calle del Olivar  Lavapiés-Embajadores  Madrid,1.100€/mes,1 hab. 38 m² Planta 3ª exterior sin ascensor 20 horas
Piso en calle Anna Frank  19  El Cañaveral  Madrid,"1.115€/mes
Garaje incluido",2 hab. 94 m² Planta 1ª exterior con ascensor
Piso en paseo de Santa María de la Cabeza  124  Comillas  Madrid,1.100€/mes,3 hab. 59 m² Planta 5ª exterior con ascensor 20 horas
Piso en calle del Prado  Huertas-Cortes  Madrid,1.490€/mes,2 hab. 110 m² Planta 1ª interior con ascensor
Dúplex en calle de la ribera de curtidores  16  Lavapiés-Embajadores  Madrid,825€/mes,2 hab. 58 m² Planta 4ª exterior sin ascensor 20 horas
Piso en calle de Francisco Silvela  Lista  Madrid,1.590€/mes,1 hab. 54 m² Planta 1ª exterior con ascensor
